"Job","Actual cost of labor and materials","Actual cost of labor and materials per unit","Actual gross margin","Actual gross profit","Actual Job end date","Actual Job start date","Actual Labor cost","Actual Labor cost per person hour","Actual Labor cost per unit","Actual labor margin","Actual labor profit","Actual machine cost","Actual machine cost per unit","Actual materials cost","Actual materials cost per unit","Actual person hours","Actual person hours payable","Actual person hours per unit","Actual person hours productive","Actual total cost","Actual total cost per unit","Actual total margin","Actual total profit","Actual units per person hour","Availability","Customer name","Duration","Estimate name","Expected cost of labor and materials","Expected cost of labor and materials per unit","Expected gross margin","Expected gross profit","Expected Labor cost","Expected Labor cost per unit","Expected Labor margin","Expected Labor profit","Expected materials cost","Expected materials cost per unit","Expected total charge","Expected total charge per unit","Expected total cost","Expected total cost per unit","Expected total margin","Expected total profit","Invoice ID","Invoiced","Invoice date","Item alternate code 1","Item alternate code 2","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Job comments","Job reference","Job status","Labor charge","Labor charge per person hour","Labor charge per unit","Labor percentage of charge","Line Efficiency","Line leader name","Line name","Machine hours","Machine Hours per unit","Machine hours productive","Materials charge","Materials charge per unit","Number of personnel","Number of Time Records","Overhead charge","Overhead charge per unit","Overhead cost","Overhead cost per unit","Performance","Project code","Project description","Project ID","Project reference 1","Project reference 2","Project Reference 3","Reconciliation completed at","Reconciliation status","Scenario name","Service Category","Signed Off","Site name","Standard people","Standard person hours","Standard Person Hours per unit","Standard units per hour","Total charge","Total charge per unit","Unit of measure","Units expected","Units produced","Units remaining"
"4009157","3233.84","1.99006","-59.84%","-1210.72","2020-Jan-19 12:11 AM","2020-Jan-18 03:00 PM","1210.72","14.91","0.74506","21.16%","324.91","0.00","0.00000","2023.13","1.24500","86.19","81.19","0.04791","77.86","3233.84","1.99006","-59.84%","-1210.72","20.87","100.00%","Nestle Purina Pet Care Co.","9.19","12368585 - PURINA CANISTER","0.00","0.00000","100.00%","2023.13","0.00","0.00000","100.00%","1535.63","0.00","0.00000","2023.13","1.245","0.00","0.00000","-59.84%","-1210.72","","No","","12368585","","","","PURINA-NC-02","Nestle Purina Pet Care Co.","12368585 Friskies Kahuna 3X20Oz Cs","","Finished Good","","","Stopped","1535.63","17.82","0.94500","59.84%","49.70%","","PURINA CANISTER","","0.00000","0.00","487.50","0.30000","10.00","10","0.00","0.00000","0.00","0.00000","49.70%","1973242","","1973242","","","","","Needs to be reconciled","L - 12368585","","No","Newcomerstown","10.00000","38.69","0.02381","420.00000","2023.13","1.24500","cs","3220.00000","1625.00000","1595.00"
"4009173","3380.84","3.04580","-37.28%","-918.19","2020-Jan-18 11:39 PM","2020-Jan-18 03:00 PM","918.19","14.76","0.82720","62.72%","1544.45","0.00","0.00000","2462.65","2.21860","66.20","62.20","0.05364","59.54","3380.84","3.04580","-37.28%","-918.19","18.64","100.00%","Hills Pet Nutrition, Inc.","8.65","2178 - MICROBAG","0.00","0.00000","100.00%","2462.65","0.00","0.00000","100.00%","2462.65","0.00","0.00000","2462.65","2.2186","0.00","0.00000","-37.28%","-918.19","","No","","2178","","","","HILLSPET-NC-25","Hills Pet Nutrition, Inc.","2178 Science Diet Puppy Sb 6 X 2Lb Trial Bag Case","","Finished Good","","","Stopped","2462.65","37.20","2.21860","37.28%","98.87%","","MICROBAG","","0.00000","0.00","0.00","0.00000","8.00","8","0.00","0.00000","0.00","0.00000","98.87%","2062600","","2062600","","","","","Needs to be reconciled","L - 2178","","No","Newcomerstown","7.00000","58.86","0.05303","132.00000","2462.65","2.21860","cs","1012.00000","1110.00000","-98.00"
"3994620","2416.91","1.49654","-39.26%","-681.44","2020-Jan-18 04:14 PM","2020-Jan-18 06:30 AM","677.03","15.15","0.41921","60.99%","1058.45","0.00","0.00000","1739.88","1.07733","47.19","44.69","0.02664","43.03","2416.91","1.49654","-39.26%","-681.44","37.53","100.00%","Keto Logic LLC","9.74","KTO-160 - KETO","0.00","0.00000","100.00%","1735.48","0.00","0.00000","100.00%","1735.48","0.00","0.00000","1735.48","1.0746","0.00","0.00000","-39.26%","-681.44","","No","","KTO-160","","","","KETOLOG-NC-01","Keto Logic LLC","KTO-160 Ketologic Keto Crisps - Krunch Cheddar","","Finished Good","","","Stopped","1735.48","36.77","1.07460","39.01%","82.31%","","KETO","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","82.31%","2037625","","2037625","","","","2020-Jan-18 11:29 PM","Reconciliation complete","L - KTO-160","","No","Newcomerstown","5.00000","35.42","0.02193","228.00000","1735.48","1.07460","cs","1938.00000","1615.00000","323.00"
"4001525","2441.35","18.35602","-43.90%","-744.80","2020-Jan-18 03:41 PM","2020-Jan-18 06:30 AM","742.05","14.96","5.57930","56.26%","954.50","0.00","0.00000","1699.30","12.77672","52.60","49.60","0.35790","47.60","2441.35","18.35602","-43.90%","-744.80","2.79","100.00%","Project 7, Inc.","9.18","2021010 - PROJECT7","0.00","0.00000","100.00%","1696.55","0.00","0.00000","100.00%","1696.55","0.00","0.00000","1696.55","12.756","0.00","0.00000","-43.90%","-744.80","","No","","2021010","","","","PROJECT7-NC-02","Project 7, Inc.","2021010 Rainbow Ice Gum","","Finished Good","","","Stopped","1696.55","32.25","12.75600","43.74%","93.14%","","PROJECT7","","0.00000","0.00","0.00","0.00000","6.00","6","0.00","0.00000","0.00","0.00000","93.14%","1972169","","1972169","","","","","Needs to be reconciled","L - 2021010","","No","Newcomerstown","6.00000","44.33","0.33333","18.00000","1696.55","12.75600","cs","150.00000","133.00000","17.00"
"4007166","1513.98","0.97299","37.65%","914.31","2020-Jan-18 03:30 PM","2020-Jan-18 06:30 AM","1513.98","14.84","0.97299","37.65%","914.31","0.00","0.00000","0.00","0.00000","108.50","102.00","0.06416","99.83","1513.98","0.97299","37.65%","914.31","15.59","100.00%","The JM Smucker Company","9.00","7910075810 - WB-SURP","0.00","0.00000","100.00%","2428.29","0.00","0.00000","100.00%","2428.29","0.00","0.00000","2428.29","1.5606","0.00","0.00000","37.65%","914.31","","No","","7910075810","","","","SMCKRS-NC-58","The JM Smucker Company","7910075810 Mkb Wndr Bn 6.2Oz Ch Mn Pw Surp","","Finished Good","","","Stopped","2428.29","22.38","1.56060","62.35%","86.59%","","WB-SURP","","0.00000","0.00","0.00","0.00000","14.00","14","0.00","0.00000","0.00","0.00000","86.59%","1998354","","1998354","","","","","Needs to be reconciled","L - 7910075810","","No","Newcomerstown","10.00000","86.44","0.05556","180.00000","2428.29","1.56060","cs","1380.00000","1556.00000","-176.00"
"4007802","769.62","0.32460","77.55%","2657.88","2020-Jan-18 03:34 PM","2020-Jan-18 06:30 AM","769.62","15.41","0.32460","39.39%","500.20","0.00","0.00000","0.00","0.00000","52.95","49.95","0.02005","47.53","769.62","0.32460","77.55%","2657.88","49.89","99.12%","Mars / Wrigley","9.07","10188278 - SK2-SOUR","0.00","0.00000","100.00%","3532.34","0.00","0.00000","100.00%","1269.81","0.00","0.00000","3532.34","1.48981","0.00","0.00000","78.21%","2762.72","","No","","10188278","","","","MARS-NC-51","Mars / Wrigley","10188278 Sour Skittles Sks Sas Syl 204.1G Sours Sub / 12P - 7.2 Oz","","Finished Good","","","Stopped","1269.81","23.98","0.53556","22.45%","71.05%","","SK2-SOUR","","0.00000","0.00","2262.53","0.95425","6.00","6","0.00","0.00000","0.00","0.00000","71.68%","2058700","","2058700","","","","","Needs to be reconciled","L - 10188278","","No","Newcomerstown","5.00000","34.07","0.01437","348.00000","3427.49","1.44559","cs","2400.00000","2371.00000","29.00"
"4007860","1754.51","1.76866","20.69%","457.65","2020-Jan-18 03:31 PM","2020-Jan-18 06:30 AM","756.94","15.40","0.76304","65.78%","1455.22","0.00","0.00000","997.58","1.00562","52.16","49.16","0.04309","42.75","1754.51","1.76866","20.69%","457.65","23.20","90.64%","Mondelez","9.03","00125460137700 - GUM2","0.00","0.00000","100.00%","4464.00","0.00","0.00000","100.00%","2212.16","0.00","0.00000","4464.00","4.5","0.00","0.00000","60.70%","2709.49","","No","","00125460137700","","","","MONDELZ-NC-14","Mondelez","00125460137700 Trident Vibes Tropical 24/12ct","","Finished Good","","","Stopped","2212.16","42.41","2.23000","34.22%","68.74%","","GUM2","","0.00000","0.00","2251.84","2.27000","6.00","6","0.00","0.00000","0.00","0.00000","75.83%","2020687","","2020687","","","","","Needs to be reconciled","19-2227 - 00125460137700","","No","Newcomerstown","5.00000","32.42","0.03268","153.00000","2212.16","2.23000","cs","1173.00000","992.00000","181.00"
"4009001","4972.16","2.46390","-32.56%","-1221.30","2020-Jan-18 03:18 PM","2020-Jan-18 06:30 AM","1221.30","14.60","0.60520","67.44%","2529.56","0.00","0.00000","3750.86","1.85870","89.16","83.66","0.03972","80.16","4972.16","2.46390","-32.56%","-1221.30","25.18","100.00%","Hills Pet Nutrition, Inc.","8.81","10900 - SUP6","0.00","0.00000","100.00%","3750.86","0.00","0.00000","100.00%","3750.86","0.00","0.00000","3750.86","1.8587","0.00","0.00000","-32.56%","-1221.30","","No","","10900","","","","HILLSPET-NC-16","Hills Pet Nutrition, Inc.","10900 Prescription Diet Canine Hypo Treats 6 X 12Oz Case","","Finished Good","","","Stopped","3750.86","42.07","1.85870","32.56%","107.59%","","SUP6","","0.00000","0.00","0.00","0.00000","11.00","11","0.00","0.00000","0.00","0.00000","107.59%","2062602","","2062602","","","","","Needs to be reconciled","L - 10900","","No","Newcomerstown","10.00000","86.24","0.04274","234.00000","3750.86","1.85870","cs","1750.00000","2018.00000","-268.00"
"4009109","22.89","0.42383","71.50%","57.41","2020-Jan-18 07:52 AM","2020-Jan-18 06:30 AM","22.89","16.65","0.42383","71.50%","57.41","0.00","0.00000","0.00","0.00000","1.37","1.37","0.02546","1.37","22.89","0.42383","71.50%","57.41","39.28","100.00%","Hills Pet Nutrition, Inc.","1.37","605087 - 3M","0.00","0.00000","100.00%","80.30","0.00","0.00000","100.00%","80.30","0.00","0.00000","80.30","1.487","0.00","0.00000","71.50%","57.41","","No","","605087","","","","HILLSPET-NC-40","Hills Pet Nutrition, Inc.","605087 PD FEL K/D STK KIT","","Finished Good","","","Stopped","80.30","58.42","1.48700","28.50%","128.97%","","3M","","0.00000","0.00","0.00","0.00000","1.00","1","0.00","0.00000","0.00","0.00000","128.97%","2063318","","2063318","","","","","Needs to be reconciled","19-2231 - 605087","","No","Newcomerstown","13.00000","1.77","0.03283","396.00000","80.30","1.48700","cs","3036.00000","54.00000","2982.00"
"4009154","4789.22","1.65717","-33.11%","-1191.17","2020-Jan-18 03:25 PM","2020-Jan-18 06:30 AM","1191.17","14.35","0.41217","56.38%","1539.88","0.00","0.00000","3598.05","1.24500","88.01","83.01","0.02751","79.51","4789.22","1.65717","-33.11%","-1191.17","36.35","100.00%","Nestle Purina Pet Care Co.","8.93","12368585 - PURINA CANISTER","0.00","0.00000","100.00%","3598.05","0.00","0.00000","100.00%","2731.05","0.00","0.00000","3598.05","1.245","0.00","0.00000","-33.11%","-1191.17","","No","","12368585","","","","PURINA-NC-02","Nestle Purina Pet Care Co.","12368585 Friskies Kahuna 3X20Oz Cs","","Finished Good","","","Stopped","2731.05","31.03","0.94500","33.11%","86.54%","","PURINA CANISTER","","0.00000","0.00","867.00","0.30000","11.00","11","0.00","0.00000","0.00","0.00000","86.54%","1973242","","1973242","","","","","Needs to be reconciled","L - 12368585","","No","Newcomerstown","10.00000","68.81","0.02381","420.00000","3598.05","1.24500","cs","3220.00000","2890.00000","330.00"
