"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"2058627","2020-Jan-08 02:09 PM","Olly","2020-Jan-08 02:05 PM","","No","Yes","Vitamin","","OLLY-103-12PK","Olly","700251.01 Active Immunity Berry 45ct - Medium","Medium","Finished Good","2020-Jan-14 05:15 PM","100.00%","2020-Jan-14 05:06 PM","2020-Jan-09 02:42 PM","2058627","","Closed","100942","","","","MSI Portage","8.00","957.25000","0.00","0.00","0.00000","50136.00000","bottles","52000.00000","50136.00000","1864.00000"
"2057772","2020-Jan-08 09:00 AM","Morton Salt","","","No","Yes","Grinders","","MORTON-03","Morton Salt","F111840000B Peppercorn Glass Grinders","Grinders","Finished Good","","100.00%","","","03-4TH-JANPO","RUN TO THE NUMBER","Booked","6702247341","","","","MSI Portage","9.00","1854.00000","0.00","0.00","0.00000","67812.00000","grinders","88704.00000","67812.00000","20892.00000"
"2057766","2020-Jan-08 08:57 AM","Morton Salt","","","No","No","Grinders","","MORTON-01A","Morton Salt","F111800000B Sea Salt Glass Grinders","Grinders","Finished Good","","100.00%","","","01a-JANPO20","NO SALT
RUN TO THE NUMBER","Booked","6702247347","","","","MSI Portage","6.00","1500.00000","0.00","0.00","0.00000","","grinders","79200.00000","0.00000","79200.00000"
"2057745","2020-Jan-08 08:41 AM","Post Foods","","","No","Yes","Cups","","POST-10","Post Foods","28571 Single Serve Cup 60ct Mixed Case FS","","Finished Good","2020-Jan-13 09:46 PM","100.00%","","2020-Jan-09 06:00 AM","VARIETY-JANPO20","RUN TO THE NUMBER","Closed","","","","","MSI Portage","9.50","75.00000","0.00","0.00","0.00000","2500.00000","cases","2500.00000","2500.00000","0.00000"
"2057656","2020-Jan-08 07:43 AM","Nestle Purina Pet Care Co.","","","No","Yes","Bottles","","PURINA-11","Nestle Purina Pet Care Co.","#12297299 Dentalife Cat Chicken 13.5oz","","Finished Good","2020-Jan-15 05:50 PM","100.00%","","2020-Jan-08 03:00 PM","11-JANPO20","RUN TO THE NUMBER ONLY","Closed","4562230423","","","","MSI Portage","8.00","1064.00000","0.00","0.00","0.00000","18756.00000","bottles","18480.00000","18756.00000","-276.00000"
"2057471","2020-Jan-07 05:14 PM","Hometown Foods","","","No","No","Gum","","HTFOODS-LRW","Hometown Foods","Hometown Foods Labor Rework","","Finished Good","","100.00%","","","2057471","REWORK OPEN SEALS OF PINK PALLET #663341 and 675718
REWORK BOXES OF DAMAGED VALENTINE CANDY
REWORK RAINBOW CHOC CHIP PALLETS #672040, #672042","Open","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","0.00000","bottles","0.00000","0.00000","0.00000"
"2057318","2020-Jan-07 04:49 PM","Mars / Wrigley","2020-Jan-07 11:00 PM","","No","No","Gum","","MARS-LRW","Mars / Wrigley","Mars Labor Rework","","Finished Good","","100.00%","2020-Jan-07 11:00 PM","2020-Jan-07 03:00 PM","Rework 1/7","REWORK - Pack the finished Trays of #10203114 Mixed Berry into 125 Shippers - Pallet #676098 & 676099","Booked","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","0.00000","bottles","125.00000","0.00000","125.00000"
"2056781","2020-Jan-07 02:59 PM","Post Foods","","","No","Yes","Solid Food","","POST-07C","Post Foods","FPS-0121 HBO 2oz Cereal Cup 60ct Case","","Finished Good","2020-Jan-08 12:00 PM","100.00%","","","07C-6TH-JANPO20","RUN TO THE NUMBER","Closed","","","","","MSI Portage","9.50","4645.50000","0.00","0.00","0.00000","10262.00000","cups","18000.00000","10262.00000","7738.00000"
"2056769","2020-Jan-07 02:40 PM","Hometown Foods","2020-Jan-11 03:30 PM","","No","Yes","","","HTFOODS-31","Hometown Foods","5150008022 Vanilla Pastry Bag with Funfetti Pouches","","Finished Good","2020-Jan-14 10:20 PM","100.00%","","","5150008022-2nd RUN","","Closed","Forecast","","","","MSI Portage","10.00","1840.00000","0.00","0.00","0.00000","31260.00000","eaches","31200.00000","31260.00000","-60.00000"
"2056750","2020-Jan-07 02:19 PM","Olly","2020-Jan-07 02:15 PM","","No","Yes","Vitamin","","OLLY-75-12PK","Olly","700171.01 Sleep 70ct - Medium","Medium","Finished Good","2020-Jan-14 10:00 AM","100.00%","","2020-Jan-07 03:43 PM","2056750","","Closed","100942","","","","MSI Portage","8.00","889.00000","0.00","0.00","0.00000","78288.00000","bottles","78000.00000","78288.00000","-288.00000"
