"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"2067908","2020-Jan-16 02:02 PM","Annin & Co.","","C9395 - ANNIN","Yes","No","","","ANNIN-NC-01","Annin & Co.","C9395 Flag Kit - SUB 6'X1"" 2pc Alm Pl w/spn Rng 2 PS Brkt","","Finished Good","","100.00%","","2020-Jan-20 02:02 PM","2067908","","Booked","","","","L - C9395","Newcomerstown","5.00","450.00000","0.00","0.00","0.98800","0.00000","eaches","85000.00000","0.00000","85000.00000"
"2067815","2020-Jan-16 12:58 PM","Nestle Purina Pet Care Co.","2020-Feb-28 12:58 PM","12426513 - PURINA CANISTER","Yes","No","","","PURINA-NC-17","Nestle Purina Pet Care Co.","12426513 - DENTALIFE Cat Tasty Chkn Cani 2x19oz US","","Finished Good","","100.00%","","","2067815","","Open","","","","L - 12426513","Newcomerstown","10.00","429.00000","0.00","0.00","1.18000","","cases","8280.00000","0.00000","8280.00000"
"2067813","2020-Jan-16 12:57 PM","Nestle Purina Pet Care Co.","2020-Feb-28 12:57 PM","12426503 - PURINA CANISTER","Yes","No","","","PURINA-NC-16","Nestle Purina Pet Care Co.","12426503 - DENTALIFE Cat Savoury Smn Cani 2x19oz US","","Finished Good","","100.00%","","","2067813","","Open","","","","L - 12426503","Newcomerstown","10.00","429.00000","0.00","0.00","1.18000","","cases","8280.00000","0.00000","8280.00000"
"2067807","2020-Jan-16 12:48 PM","Nestle Purina Pet Care Co.","2020-Feb-21 12:48 PM","12368583 - PURINA CANISTER","Yes","No","","","PURINA-NC-01","Nestle Purina Pet Care Co.","12368583 Friskies Treasure Island 3X20 Cs","","Finished Good","","100.00%","","","2067807","","Open","","","","L - 12368583","Newcomerstown","10.00","420.00000","0.00","0.00","1.24500","","cases","8280.00000","0.00000","8280.00000"
"2067791","2020-Jan-16 12:35 PM","Nestle Purina Pet Care Co.","2020-Feb-21 12:35 PM","12425503 - PURINA CANISTER","Yes","No","","","PURINA-NC-14","Nestle Purina Pet Care Co.","12425503 Friskies Party Mix 2X30oz","","Finished Good","","100.00%","","","2067791","","Open","","","","L - 12425503","Newcomerstown","10.00","630.00000","0.00","0.00","1.18000","","cases","12420.00000","0.00000","12420.00000"
"2067725","2020-Jan-16 11:55 AM","Mondelez","","3125460015900 - HALLS REPACK","Yes","No","","","MONDELZ-NC-05","Mondelez","3125460015900 80Pc Halls Cough Honey Lemon 6ct","","Finished Good","","100.00%","","2020-Feb-10 11:55 AM","2067725","","Open","","","","L - 3125460015900","Newcomerstown","5.00","600.00000","0.00","0.00","0.77000","","cases","3060.00000","0.00000","3060.00000"
"2067724","2020-Jan-16 11:54 AM","Mondelez","","3125460015900 - HALLS REPACK","Yes","No","","","MONDELZ-NC-05","Mondelez","3125460015900 80Pc Halls Cough Honey Lemon 6ct","","Finished Good","","100.00%","","2020-Feb-10 11:54 AM","2067724","","Open","","","","L - 3125460015900","Newcomerstown","5.00","600.00000","0.00","0.00","0.77000","","cases","3978.00000","0.00000","3978.00000"
"2067720","2020-Jan-16 11:52 AM","Mondelez","","3125460015900 - HALLS REPACK","Yes","No","","","MONDELZ-NC-05","Mondelez","3125460015900 80Pc Halls Cough Honey Lemon 6ct","","Finished Good","","100.00%","","2020-Feb-10 11:54 AM","2067720","","Open","","","","L - 3125460015900","Newcomerstown","5.00","600.00000","0.00","0.00","0.77000","","cases","1029.00000","0.00000","1029.00000"
"2066454","2020-Jan-15 12:17 PM","Mondelez","","704620032900 - SP1/SP2","Yes","No","","","MONDELZ-NC-11","Mondelez","704620032900 6Ct - 10Oz Sourpatch Strawberry Bag","","Finished Good","","100.00%","","2020-Apr-20 12:17 PM","2066454","","Open","","","","L - 704620032900","Newcomerstown","6.00","384.00000","0.00","0.00","1.46000","","cases","2653.00000","0.00000","2653.00000"
"2066453","2020-Jan-15 12:16 PM","Mondelez","","704620032900 - SP1/SP2","Yes","No","","","MONDELZ-NC-11","Mondelez","704620032900 6Ct - 10Oz Sourpatch Strawberry Bag","","Finished Good","","100.00%","","2020-Apr-13 12:16 PM","2066453","","Open","","","","L - 704620032900","Newcomerstown","6.00","384.00000","0.00","0.00","1.46000","","cases","3234.00000","0.00000","3234.00000"
"2066452","2020-Jan-15 12:15 PM","Mondelez","","704620032900 - SP1/SP2","Yes","No","","","MONDELZ-NC-11","Mondelez","704620032900 6Ct - 10Oz Sourpatch Strawberry Bag","","Finished Good","","100.00%","","2020-Mar-23 12:15 PM","2066452","","Open","","","","L - 704620032900","Newcomerstown","6.00","384.00000","0.00","0.00","1.46000","","cases","2451.00000","0.00000","2451.00000"
"2066451","2020-Jan-15 12:14 PM","Mondelez","","704620032900 - SP1/SP2","Yes","No","","","MONDELZ-NC-11","Mondelez","704620032900 6Ct - 10Oz Sourpatch Strawberry Bag","","Finished Good","","100.00%","","2020-Mar-09 12:15 PM","2066451","","Open","","","","L - 704620032900","Newcomerstown","6.00","384.00000","0.00","0.00","1.46000","","cases","2532.00000","0.00000","2532.00000"
"2066423","2020-Jan-15 12:05 PM","Mondelez","","704620032700 - SP1/SP2","Yes","No","","","MONDELZ-NC-10","Mondelez","704620032700 6Ct - 9Oz Sourpatch Big Kids Bag","","Finished Good","","100.00%","","2020-Mar-16 12:05 PM","2066423","","Open","","","","L - 704620032700","Newcomerstown","7.00","384.00000","0.00","0.00","1.46000","","cases","3371.00000","0.00000","3371.00000"
"2066392","2020-Jan-15 11:59 AM","Mondelez","","704620020700 - SP1/SP2","Yes","No","","","MONDELZ-NC-09","Mondelez","704620020700 10Oz Sour Patch Strawberry Bag 12/Cs","","Finished Good","","100.00%","","2020-Apr-13 11:59 AM","2066392","","Open","","","","L - 704620020700","Newcomerstown","6.00","192.00000","0.00","0.00","2.41000","","cases","8542.00000","0.00000","8542.00000"
"2066387","2020-Jan-15 11:55 AM","Mondelez","2020-Mar-02 11:56 AM","704620020700 - SP1/SP2","Yes","No","","","MONDELZ-NC-09","Mondelez","704620020700 10Oz Sour Patch Strawberry Bag 12/Cs","","Finished Good","","100.00%","","","2066387","","Open","","","","L - 704620020700","Newcomerstown","6.00","192.00000","0.00","0.00","2.41000","","cases","9249.00000","0.00000","9249.00000"
"2066341","2020-Jan-15 11:47 AM","The JM Smucker Company","2020-Feb-14 11:47 AM","7180200781 - BONES1","Yes","No","","","SMCKRS-NC-28","The JM Smucker Company","7180200781 4Ct Beef Steak","","Finished Good","","100.00%","","","2066341","","Open","","","","L - 7180200781","Newcomerstown","10.00","351.00000","0.00","0.00","1.24440","","cases","2550.00000","0.00000","2550.00000"
"2066326","2020-Jan-15 11:46 AM","The JM Smucker Company","2020-Feb-14 11:47 AM","7180200769 - BONES1","Yes","No","","","SMCKRS-NC-27","The JM Smucker Company","7180200769 Mkb 708G S&C Chicken Cnstr 4Ct","","Finished Good","","100.00%","","","2066326","","Open","","","","L - 7180200769","Newcomerstown","10.00","351.00000","0.00","0.00","1.24440","","cases","5100.00000","0.00000","5100.00000"
"2066324","2020-Jan-15 11:45 AM","The JM Smucker Company","2020-Feb-21 11:45 AM","7180200759 - BONES1","Yes","No","","","SMCKRS-NC-68","The JM Smucker Company","7180200759 6/708G Beef Steaks","","Finished Good","","100.00%","2020-Feb-18 05:06 PM","2020-Feb-17 11:45 AM","2066324","","Booked","","","","L - 7180200759","Newcomerstown","9.00","234.00000","0.00","0.00","1.85230","","cases","4800.00000","0.00000","4800.00000"
"2066322","2020-Jan-15 11:45 AM","The JM Smucker Company","2020-Feb-28 11:45 AM","7180200670 - BONES1","Yes","No","","","SMCKRS-NC-26","The JM Smucker Company","7180200670 Mkb 3.2 Kg Gravy Bone 2Ct","","Finished Good","","100.00%","","","2066322","","Open","","","","L - 7180200670","Newcomerstown","11.00","294.00000","0.00","0.00","1.65650","","cases","2000.00000","0.00000","2000.00000"
"2066321","2020-Jan-15 11:45 AM","Mondelez","2020-Feb-24 11:45 AM","704620013300 - SP1/SP2","Yes","No","","","MONDELZ-NC-07","Mondelez","704620013300 9Oz Sourpatch Big Kids Bag 12/Cs","","Finished Good","","100.00%","2020-Mar-02 05:51 PM","2020-Feb-25 01:01 PM","2066321","","Booked","","","","L - 704620013300","Newcomerstown","6.00","192.00000","0.00","0.00","2.41000","","cases","12640.00000","0.00000","12640.00000"
"2066318","2020-Jan-15 11:44 AM","The JM Smucker Company","2020-Feb-21 11:43 AM","7180200577 - BONES1","Yes","No","","","SMCKRS-NC-25","The JM Smucker Company","7180200577 25Oz Can Chicken","","Finished Good","","100.00%","","","2066318","","Open","","","","L - 7180200577","Newcomerstown","9.00","234.00000","0.00","0.00","1.84930","","cases","6400.00000","0.00000","6400.00000"
