"Job","Actual cost of labor and materials","Actual cost of labor and materials per unit","Actual gross margin","Actual gross profit","Actual Job end date","Actual Job start date","Actual Labor cost","Actual Labor cost per person hour","Actual Labor cost per unit","Actual labor margin","Actual labor profit","Actual machine cost","Actual machine cost per unit","Actual materials cost","Actual materials cost per unit","Actual person hours","Actual person hours payable","Actual person hours per unit","Actual person hours productive","Actual total cost","Actual total cost per unit","Actual total margin","Actual total profit","Actual units per person hour","Availability","Customer name","Duration","Estimate name","Expected cost of labor and materials","Expected cost of labor and materials per unit","Expected gross margin","Expected gross profit","Expected Labor cost","Expected Labor cost per unit","Expected Labor margin","Expected Labor profit","Expected materials cost","Expected materials cost per unit","Expected total charge","Expected total charge per unit","Expected total cost","Expected total cost per unit","Expected total margin","Expected total profit","Invoice ID","Invoiced","Invoice date","Item alternate code 1","Item alternate code 2","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Job comments","Job reference","Job status","Labor charge","Labor charge per person hour","Labor charge per unit","Labor percentage of charge","Line Efficiency","Line leader name","Line name","Machine hours","Machine Hours per unit","Machine hours productive","Materials charge","Materials charge per unit","Number of personnel","Number of Time Records","Overhead charge","Overhead charge per unit","Overhead cost","Overhead cost per unit","Performance","Project code","Project description","Project ID","Project reference 1","Project reference 2","Project Reference 3","Reconciliation completed at","Reconciliation status","Scenario name","Service Category","Signed Off","Site name","Standard people","Standard person hours","Standard Person Hours per unit","Standard units per hour","Total charge","Total charge per unit","Unit of measure","Units expected","Units produced","Units remaining"
"4009305","45.93","0.05673","0.00%","-45.93","2020-Jan-17 08:16 PM","2020-Jan-17 05:00 PM","45.93","14.00","0.05673","0.00%","-45.93","0.00","0.00000","0.00","0.00000","3.28","3.28","0.00405","3.28","45.93","0.05673","0.00%","-45.93","246.78","100.00%","RX Bar","3.28","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-45.93","","No","","","","Solid Food","","RXBAR-05-03A","RX Bar","Vanilla Almond Oat Blend - Batch","","Batch","","","Stopped","0.00","0.00","0.00000","","0.00%","","Batching - Tumbler (Rm 4)","","0.00000","0.00","0.00","0.00000","1.00","1","0.00","0.00000","0.00","0.00000","0.00%","05-03a-TRIAL","1 BATCH","2068706","","","","","Needs to be reconciled","","","No","MSI Portage","0.00000","0.00","0.00000","0.00000","0.00","0.00000","lbs","810.00000","809.70000","0.30"
"4003778","5.83","0.00442","0.00%","-5.83","2020-Jan-17 04:39 PM","2020-Jan-17 04:10 PM","5.83","12.00","0.00442","0.00%","-5.83","0.00","0.00000","0.00","0.00000","0.49","0.49","0.00037","0.49","5.83","0.00442","0.00%","-5.83","2715.34","100.00%","Olly","0.49","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-5.83","","No","","","","","","OLLY-04-07-MRP","Olly","500 ml Twist Turn Closure Assembly - Large","Large","Caps","","","Stopped","0.00","0.00","0.00000","","0.00%","","Winpak Machine (Rm 2)","","0.00000","0.00","0.00","0.00000","1.00","1","0.00","0.00000","0.00","0.00000","0.00%","2051288","","2051288","","","","","Needs to be reconciled","","","No","MSI Portage","0.00000","0.00","0.00000","0.00000","0.00","0.00000","ea","5000.00000","1320.00000","3680.00"
"4008802","3220.34","2.72448","0.00%","-3220.34","2020-Jan-17 04:10 PM","2020-Jan-17 03:55 PM","3.50","14.00","0.00296","0.00%","-3.50","0.00","0.00000","3216.84","2.72152","0.25","0.25","0.00021","0.25","3220.34","2.72448","0.00%","-3220.34","4728.00","100.00%","Quaker","0.25","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-3220.34","","No","","","","Solid Food","","QUAKER-01-03C-V3","Quaker","Premix Batch for Real Medleys V3","","Batch","","","Stopped","0.00","0.00","0.00000","","0.00%","","Batching - Tumbler (Rm 4)","","0.00000","0.00","0.00","0.00000","1.00","1","0.00","0.00000","0.00","0.00000","0.00%","01-03C-V3-JAN20","SHORT COMPONENTS TO COMPLETE ALL BATCHES- INBOUND
17 BATCHES","2065658","","","","","Needs to be reconciled","","","No","MSI Portage","0.00000","0.00","0.00000","0.00000","0.00","0.00000","lbs","1182.00000","1182.00000","0.00"
"3954295","196.00","0.01089","0.00%","-196.00","2020-Jan-18 12:00 AM","2020-Jan-17 03:30 PM","196.00","12.25","0.01089","0.00%","-196.00","0.00","0.00000","0.00","0.00000","17.00","16.00","0.00083","15.00","196.00","0.01089","0.00%","-196.00","1200.00","100.00%","ConAgra Foods FSC AP","8.50","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-196.00","","No","","1015549","","","","CONAGF-04","ConAgra Foods FSC AP","#1015549 Conagra Butter Pouches 2017 Form","","Finished Good","","","Stopped","0.00","0.00","0.00000","","100.00%","","Circle #2 - Butter (Rm 9)","","0.00000","0.00","0.00","0.00000","2.00","2","0.00","0.00000","0.00","0.00000","100.00%","2030781","","2030781","3175885 3175886","","","2020-Jan-17 11:35 PM","Reconciliation complete","","","No","MSI Portage","2.50000","15.00","0.00083","3000.00000","0.00","0.00000","pch","24000.00000","18000.00000","6000.00"
"4010762","748.08","0.02720","0.00%","-748.08","2020-Jan-18 12:45 AM","2020-Jan-17 03:15 PM","748.08","12.40","0.02720","0.00%","-748.08","0.00","0.00000","0.00","0.00000","63.83","60.33","0.00206","56.58","748.08","0.02720","0.00%","-748.08","486.08","100.00%","BIB Products, LLC","9.50","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-748.08","","No","","8-46767-09991-4","141484-01","2oz Bottle","","BIBPRO-01","BIB Products, LLC","#8-46767-09991-4 QT Energy Grape 2oz Energy Shot Formula #80798","","Finished Good","","","Stopped","0.00","0.00","0.00000","","75.61%","","Liquid Fill - 2 oz. (Rm 8)","","0.00000","0.00","0.00","0.00000","8.00","8","0.00","0.00000","0.00","0.00000","75.61%","-DECPO19","RUN BATCH OUT","2036087","120319","","","","Needs to be reconciled","","","No","MSI Portage","7.00000","42.78","0.00156","4500.00000","0.00","0.00000","btl","32000.00000","27504.00000","4496.00"
"3999079","319.50","0.01449","0.00%","-319.50","2020-Jan-17 11:00 PM","2020-Jan-17 03:00 PM","319.50","12.29","0.01449","0.00%","-319.50","0.00","0.00000","0.00","0.00000","26.00","26.00","0.00109","24.00","319.50","0.01449","0.00%","-319.50","918.75","100.00%","Hometown Foods","8.00","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-319.50","","No","","250069","","Lids","","HTFOODS-04","Hometown Foods","250069 Rainbow Pastel FF Lids","","Finished Good","","","Stopped","0.00","0.00","0.00000","","98.79%","","Lidding 4 (Rm 6)","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","98.79%","250069 Line 1-Pastel","","2054632","Forecast","","","","Needs to be reconciled","","","No","MSI Portage","3.00000","23.71","0.00108","2790.00000","0.00","0.00000","lid","20000.00000","22050.00000","-2050.00"
"4008273","827.75","0.06315","0.00%","-827.75","2020-Jan-17 11:00 PM","2020-Jan-17 03:00 PM","827.75","12.40","0.06315","0.00%","-827.75","0.00","0.00000","0.00","0.00000","66.75","66.75","0.00412","54.05","827.75","0.06315","0.00%","-827.75","242.50","84.79%","Mars / Wrigley","8.00","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-827.75","","No","","10199876","181967-06","Candy","","MARS-15B","Mars / Wrigley","10199876 Dove Truffles Chocolate & Peanut Butter 4ct.","","Finished Good","","","Stopped","0.00","0.00","0.00000","","73.26%","","Bag Filler (Rm 8)","","0.00000","0.00","0.00","0.00000","9.00","9","0.00","0.00000","0.00","0.00000","86.40%","2063168","","2063168","","","","","Needs to be reconciled","","","No","MSI Portage","7.50000","46.70","0.00356","2105.00000","0.00","0.00000","bag","10000.00000","13108.00000","-3108.00"
"4009306","210.00","0.00000","0.00%","-210.00","2020-Jan-17 11:00 PM","2020-Jan-17 03:00 PM","210.00","14.00","0.00000","0.00%","-210.00","0.00","0.00000","0.00","0.00000","15.00","15.00","0.00000","15.00","210.00","0.00000","0.00%","-210.00","0.00","100.00%","RX Bar","8.00","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-210.00","","No","","","","Solid Food","","RXBAR-05-03B","RX Bar","Vanilla Almond Powder Blend - Batch","","Batch","","","Stopped","0.00","0.00","0.00000","","0.00%","","Batching - Tumbler (Rm 4)","","0.00000","0.00","0.00","0.00000","2.00","2","0.00","0.00000","0.00","0.00000","0.00%","05-03B-TRIAL","1 BATCH","2068865","","","","","Needs to be reconciled","","","No","MSI Portage","0.00000","0.00","0.00000","0.00000","0.00","0.00000","lbs","782.00000","0.00000","782.00"
"4007465","308.00","0.01304","0.00%","-308.00","2020-Jan-17 11:00 PM","2020-Jan-17 02:50 PM","308.00","12.24","0.01304","0.00%","-308.00","0.00","0.00000","0.00","0.00000","25.17","25.17","0.00092","21.83","308.00","0.01304","0.00%","-308.00","1082.06","95.62%","Hometown Foods","8.17","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-308.00","","No","","250073","192119-05","Lids","","HTFOODS-06","Hometown Foods","250073 Purple Mix FF Lids","","Finished Good","","","Stopped","0.00","0.00","0.00000","","111.26%","","Lidding 3 (Rm 6)","","0.00000","0.00","0.00","0.00000","4.00","4","0.00","0.00000","0.00","0.00000","116.35%","PURPLE CANDY","","2059803","","","","","Needs to be reconciled","","","No","MSI Portage","3.00000","25.40","0.00108","2790.00000","0.00","0.00000","lid","20000.00000","23625.00000","-3625.00"
"4001541","708.63","0.08168","0.00%","-708.63","2020-Jan-17 11:00 PM","2020-Jan-17 02:45 PM","708.63","12.36","0.08168","0.00%","-708.63","0.00","0.00000","0.00","0.00000","57.33","57.33","0.00607","52.67","708.63","0.08168","0.00%","-708.63","164.73","100.00%","Olly","8.25","","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00%","0.00","0.00","0.00000","0.00","0","0.00","0.00000","0.00%","-708.63","","No","","20858158005125","141587-02-12","Vitamin","","OLLY-14-12PK","Olly","700073.01 Sleep Blackberry 50ct - Medium","Medium","Finished Good","","","Stopped","0.00","0.00","0.00000","","133.22%","","Weigh Filler #2 (Rm 12)","","0.00000","0.00","0.00","0.00000","7.00","7","0.00","0.00000","0.00","0.00000","133.22%","2063903","","2063903","100942","","","","Needs to be reconciled","","","No","MSI Portage","8.00000","70.16","0.00809","989.25000","0.00","0.00000","btl","8000.00000","8676.00000","-676.00"
