"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"1972185","2019-Oct-11 01:34 PM","Hills Pet Nutrition, Inc.","2019-Oct-25 01:34 PM","2177 - MICROBAG","Yes","Yes","","","HILLSPET-NC-24","Hills Pet Nutrition, Inc.","2177 Science Diet Fel Adt Optc Org 12 X 1Lb Trial","","Finished Good","2019-Nov-10 02:41 PM","100.00%","2019-Nov-11 02:46 PM","2019-Oct-24 10:45 AM","1972185","RUN OUT BULK","Closed","","","","L - 2177","Newcomerstown","7.00","93.00000","11251.16","11251.16","3.17650","3542.00000","cases","3300.00000","3542.00000","-242.00000"
"1972169","2019-Oct-11 01:25 PM","Project 7, Inc.","","2021010 - PROJECT7","Yes","Yes","","","PROJECT7-NC-02","Project 7, Inc.","2021010 Rainbow Ice Gum","","Finished Good","","100.00%","2020-Jan-20 03:20 PM","2020-Jan-11 07:00 AM","1972169","","Booked","","","","L - 2021010","Newcomerstown","6.00","18.00000","38752.73","38752.73","12.75600","3038.00000","cases","3195.00000","3038.00000","157.00000"
"1972151","2019-Oct-11 12:51 PM","Love You Foods LLC","","FMB-605 -KETO","Yes","Yes","","","LOVEYOU-NC-05","Love You Foods LLC","FMB-605 Keto Krunch Salt & Vinegar","","Finished Good","2019-Oct-27 12:08 AM","100.00%","2019-Oct-28 04:41 PM","2019-Oct-18 06:40 PM","1972151","","Closed","","","","L - FMB-605","Newcomerstown","5.00","228.00000","6161.76","6161.76","1.07460","5734.00000","cases","7000.00000","5734.00000","1266.00000"
"1972144","2019-Oct-11 12:41 PM","Hills Pet Nutrition, Inc.","","10898 - SUP6","Yes","Yes","","","HILLSPET-NC-15","Hills Pet Nutrition, Inc.","10898 Prescription Diet Canine Treats 6 X 11Oz Case","","Finished Good","2019-Oct-23 11:02 AM","100.00%","2019-Oct-24 10:31 AM","2019-Oct-14 03:43 PM","1972144","RUN OUT BULK","Closed","","","","L - 10898","Newcomerstown","10.00","234.00000","14836.14","14836.14","1.85870","7982.00000","cases","7982.00000","7982.00000","0.00000"
"1969404","2019-Oct-09 08:34 AM","Hills Pet Nutrition, Inc.","2019-Oct-18 08:34 AM","2178 - MICROBAG","Yes","Yes","","","HILLSPET-NC-25","Hills Pet Nutrition, Inc.","2178 Science Diet Puppy Sb 6 X 2Lb Trial Bag Case","","Finished Good","2019-Oct-14 10:33 PM","100.00%","2019-Oct-14 10:52 PM","2019-Oct-10 12:38 PM","1969404","RUN OUT FILM","Closed","","","","L - 2178","Newcomerstown","7.00","132.00000","13218.42","13218.42","2.21860","5958.00000","cases","6000.00000","5958.00000","42.00000"
"1968918","2019-Oct-08 01:22 PM","Assemblies Unlimited","","649815002528 - GUM1","Yes","Yes","","","ASSEMB-NC-08","Assemblies Unlimited","649815002528 100Ct Glee Gum Pouch Sugar Free Watermelon","","Finished Good","2019-Nov-01 11:52 PM","100.00%","2019-Dec-04 10:37 AM","2019-Nov-05 06:58 PM","1968918","","Closed","","","","19-2143 - 649815002528","Newcomerstown","4.00","21.00000","4230.74","4230.74","10.63000","398.00000","cases","400.00000","398.00000","2.00000"
"1968917","2019-Oct-08 01:21 PM","Assemblies Unlimited","","649815002504 - GUM1","Yes","Yes","","","ASSEMB-NC-07","Assemblies Unlimited","649815002504 100Ct Glee Gum Pouch Sugar Free Peppermint","","Finished Good","2019-Nov-22 02:21 PM","100.00%","2019-Nov-20 09:38 PM","2019-Nov-19 04:18 PM","1968917","","Closed","","","","19-2143 - 649815002504","Newcomerstown","4.00","21.00000","4326.41","4326.41","10.63000","407.00000","cases","400.00000","407.00000","-7.00000"
"1968916","2019-Oct-08 01:21 PM","Assemblies Unlimited","","649815002009 - GUM1","Yes","Yes","","","ASSEMB-NC-05","Assemblies Unlimited","649815002009 100Ct Glee Gum Pouch Peppermint","","Finished Good","2019-Nov-22 11:27 PM","100.00%","2019-Nov-19 04:18 PM","2019-Nov-18 10:58 AM","1968916","","Closed","","","","19-2143 - 649815002009","Newcomerstown","4.00","21.00000","4347.67","4347.67","10.63000","409.00000","cases","400.00000","409.00000","-9.00000"
"1968915","2019-Oct-08 01:20 PM","Assemblies Unlimited","","649815002108 - GUM1","Yes","Yes","","","ASSEMB-NC-06","Assemblies Unlimited","649815002108 100Ct Glee Gum Pouch Bubblegum","","Finished Good","2019-Oct-31 08:21 PM","100.00%","2019-Nov-01 08:38 AM","2019-Oct-30 08:48 PM","1968915","","Closed","","","","19-2143 - 649815002108","Newcomerstown","4.00","21.00000","4358.30","4358.30","10.63000","410.00000","cases","400.00000","410.00000","-10.00000"
"1968914","2019-Oct-08 01:19 PM","Assemblies Unlimited","","50649815002004 - GUM1","Yes","Yes","","","ASSEMB-NC-01","Assemblies Unlimited","50649815002004 6/36 Glee Gum Pouch Peppermint","","Finished Good","2019-Nov-20 11:55 AM","100.00%","2019-Nov-18 10:58 AM","2019-Nov-15 04:41 PM","1968914","","Closed","","","","19-2143 - 50649815002004","Newcomerstown","5.00","54.00000","3671.55","3671.55","5.97000","615.00000","cases","555.00000","615.00000","-60.00000"
