"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"1990909","2019-Oct-29 09:05 PM","Olly","2019-Oct-29 09:05 PM","","No","Yes","Vitamin","","OLLY-112-12PK","Olly","700269.01 Collagen Rings 30ct - Large","Large","Finished Good","2019-Nov-07 07:50 PM","100.00%","","","1990909","","Closed","100864","","","","MSI Portage","8.00","993.00000","0.00","0.00","0.00000","35884.00000","bottles","40000.00000","35884.00000","4116.00000"
"1990547","2019-Oct-29 01:50 PM","Hometown Foods","2019-Nov-01 04:53 AM","","No","Yes","","","HTFOODS-27","Hometown Foods","5150008000 Vanilla Pastry Bag","","Finished Good","2019-Nov-08 12:00 AM","100.00%","2019-Nov-01 04:53 AM","2019-Oct-30 01:52 PM","1990547","PLEASE RUN TO THE NUMBER - OK TO AT LEAST RUN OUT THE FINAL TOTE","Closed","","","","","MSI Portage","7.50","1725.00000","0.00","0.00","0.00000","125178.00000","bags","114000.00000","125178.00000","-11178.00000"
"1990503","2019-Oct-29 12:58 PM","Olly","2019-Oct-29 12:55 PM","","No","Yes","Bottles","","OLLY-80HSC-A","Olly","700188.01 Kids Multi 160 Ct. HSC (Col)","","Finished Good","2019-Oct-31 10:25 AM","100.00%","","","1990503","run out Colombian gummies","Closed","100839","","","","MSI Portage","8.00","430.00000","0.00","0.00","0.00000","10356.00000","bottles","9500.00000","10356.00000","-856.00000"
"1990429","2019-Oct-29 12:01 PM","Olly","2019-Oct-29 12:00 PM","","No","Yes","Vitamin","","OLLY-14-BP","Olly","700167.01 Sleep 60ct - Bonus Pack","Bonus Pack","Finished Good","2019-Nov-11 04:10 PM","100.00%","","","1990429","","Closed","100864","","","","MSI Portage","8.00","989.25000","0.00","0.00","0.00000","157836.00000","bottles","157000.00000","157836.00000","-836.00000"
"1990237","2019-Oct-29 10:07 AM","ConAgra Foods FSC AP","2019-Oct-30 10:07 AM","","No","Yes","Solid Food","","CONAGF-05-03","ConAgra Foods FSC AP","David's Energy Seed Blend - Batch","","Batch","2019-Oct-30 03:30 PM","100.00%","","","1990237","","Closed","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","900.00000","pounds","1200.00000","900.00000","300.00000"
"1990088","2019-Oct-29 08:39 AM","Post Foods","","","No","Yes","Solid Food","","POST-05A","Post Foods","34333 Fruity Pebbles Cereal Cup","","Finished Good","2019-Nov-11 03:15 PM","100.00%","","2019-Oct-29 06:30 AM","05a-1st-OCT","RUN TO THE NUMBER.
DO NOT RUN THE CEREAL OUT!","Closed","","","","","MSI Portage","6.00","2934.00000","0.00","0.00","0.00000","144204.00000","cups","144000.00000","144204.00000","-204.00000"
"1990038","2019-Oct-29 07:47 AM","Olly","2019-Oct-29 07:45 AM","","No","Yes","Vitamin","","OLLY-11A-12PK","Olly","700055.01 Probiotic + Preboitic 30ct (FLA) - Medium","Medium","Finished Good","2019-Nov-01 01:30 AM","100.00%","","","1990038","","Closed","100839","","","","MSI Portage","8.00","993.50000","0.00","0.00","0.00000","65088.00000","bottles","60000.00000","65088.00000","-5088.00000"
"1989755","2019-Oct-28 04:04 PM","Olly","2019-Oct-28 04:00 PM","","No","Yes","Pouches","","OLLY-115","Olly","700266.01 Bedtime Beauty Sephora 8Ct. Travel Pack","","Finished Good","2019-Oct-31 03:35 PM","100.00%","","","1989755","","Closed","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","18912.00000","pouches","17500.00000","18912.00000","-1412.00000"
"1989694","2019-Oct-28 03:37 PM","Dean Foods","2019-Nov-20 03:37 PM","","No","Yes","","","DEAN-04","Dean Foods","Deans Foods Tortilla Strips","","Finished Good","2019-Nov-08 08:58 AM","100.00%","2019-Nov-08 03:21 PM","2019-Nov-06 03:20 PM","1989694","","Closed","11.20.19 T","","","","MSI Portage","3.50","3000.00000","0.00","0.00","0.00000","9135.00000","lids","25000.00000","9135.00000","15865.00000"
"1989158","2019-Oct-28 01:21 PM","Phonomenal","2019-Nov-08 01:21 PM","","No","Yes","","","PHONOM-01A-6CT","Phonomenal","601 Finished 2.1oz Beef Bowl 6ct Soy Free","","Finished Good","2019-Nov-14 10:51 AM","100.00%","","","1989158","","Closed","1011","","","","MSI Portage","5.50","1396.00000","0.00","0.00","0.00000","30000.00000","cups","30000.00000","30000.00000","0.00000"
"1989135","2019-Oct-28 01:02 PM","Noosa","","","No","Yes","","","NOOSA-11-03","Noosa","Cookies & Cream Batch","","Batch","2019-Nov-26 03:06 PM","100.00%","","","1989135","PLEASE DO NOT CHANGE ANYTHING ON THE BATCH QTY UNLESS DISCUSSED WITH SAMANTHA OR LYNN!!! MUST CALL BEFORE MODIFICATIONS!!!!!!!!!!!!! - SAY","Closed","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","2739.60000","pounds","5300.00000","2739.60000","2560.40000"
"1989132","2019-Oct-28 12:52 PM","Noosa","","","No","Yes","","","NOOSA-08-03","Noosa","Coffee Chocolate Almond","","Batch","2019-Nov-08 12:09 PM","100.00%","","","1989132","PLEASE DO NOT CHANGE ANYTHING ON THE BATCH QTY UNLESS DISCUSSED WITH SAMANTHA OR LYNN!!! MUST CALL BEFORE MODIFICATIONS!!!!!!!!!!!!! - SAY","Closed","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","1120.00000","pounds","2300.00000","1120.00000","1180.00000"
"1988392","2019-Oct-28 11:58 AM","Olly","2019-Oct-28 11:55 AM","","No","Yes","Vitamin","","OLLY-77A-12PK","Olly","700172.01 Kids Multi + Probiotic 100ct (Fla) - Tallboy","","Finished Good","2019-Nov-01 01:37 AM","100.00%","","","1988392","","Closed","100839","","","","MSI Portage","8.00","588.00000","0.00","0.00","0.00000","32904.00000","bottles","40000.00000","32904.00000","7096.00000"
